"contract_id","case_filed_yr","case_filed_month","jurisdiction","zip","assign_atty","case_type","settlement_offer","amount_billed"
" 680 4770B418","2012","08","Connecticut         ","06776","940","05122",13000,6500
"00280M0214   ","2013","11","New Jersey          ","07753","100","05219",0,127600
"002628R132   ","2013","06","New York            ","14611","169","05122",263000,44900
" 680 6396M007","2012","08","New York            ","10550","600","05121",72758000,1835900
" 680 3930N794","2012","08","New Jersey          ","07605","712","05119",0,27700
"004C239140   ","2013","12","Illinois            ","60106","620","05121",130000000,658100
" 680 6543P586","2012","08","Massachusetts       ","02128","595","05119",0,7000
" 680 7629X892","2012","08","Georgia             ","30134","090","05219",0,24900
"001D855528   ","2013","04","Texas               ","75050","100","05223",6000,210600
" 680 322M4124","2012","08","Illinois            ","60430","651","05219",0,20800
"008C818165   ","2013","02","New York            ","11516","966","05122",5500000,313700
" 680 7503X712","2012","03","California          ","92614","714","05119",0,5800
" 680 5604L655","2012","08","North Carolina      ","28205","542","05106",0,18300
"008515H826   ","2013","03","Illinois            ","60432","416","05122",6103000,79600
" 680 4121X612","2012","02","Washington          ","98391","712","05219",0,319000
"005C684638   ","2013","11","District of Columbia","20006","675","05119",0,17900
"004181A794   ","2013","12","Illinois            ","60124","612","05121",3000000,10000
"004D126896   ","2013","07","Wisconsin           ","53208","416","05122",100000,13200
"008D773464   ","2013","12","Georgia             ","30144","135","05223",37000,94600
" 680 2C804346","2012","07","Georgia             ","30076","745","05119",0,7700
" 680 6D345923","2012","08","California          ","90501","091","05106",0,1300
" 680 9831P590","2012","08","Oklahoma            ","73119","612","05121",91250000,3291700
"004D940765   ","2013","10","Maryland            ","21740","612","05119",0,43100
" 680 7498R008","2012","08","Virginia            ","22801","600","05121",93120000,1093200
"007014M806   ","2013","09","Georgia             ","31201","612","05121",0,103400
"000387P119   ","2013","09","New Jersey          ","07306","100","05223",2000,542000
"005351M237   ","2013","08","Virginia            ","22030","040","05224",10000000,62800
"002A375347   ","2013","06","Missouri            ","63801","169","05224",10000000,26900
" 680 2A904237","2012","06","California          ","92410","599","05119",0,37600
"00392R7234   ","2013","01","Tennessee           ","38555","416","05121",2186000,109300
"005596L546   ","2013","08","New York            ","12047","593","05122",208000,32800
" 680 5289P895","2012","08","Massachusetts       ","01841","156","05119",0,5400
" 680 2954C220","2012","01","New Jersey          ","07081","651","05219",0,25600
"006495M279   ","2013","09","New York            ","10917","042","05224",20000000,211900
" PACP8636M734","2012","08","Texas               ","75216","712","05233",0,153200
"002D571124   ","2013","05","New Mexico          ","87111","676","05121",0,583600
"000D704753   ","2013","04","Georgia             ","30213","169","05224",0,94200
" 680 291H716A","2012","06","Connecticut         ","06905","651","05219",0,45900
"008605N126   ","2013","08","Utah                ","84606","620","05121",35000000,260300
" 680 6B796270","2012","04","California          ","93637","712","05219",0,139200
"007D703685   ","2013","11","Nebraska            ","68025","169","05224",10000000,63600
"001C805911   ","2013","07","Illinois            ","60615","620","05121",15393000,153100
"001A15699A   ","2013","05","Nevada              ","89128","620","05121",524455000,1889400
"002498X665   ","2013","03","Wisconsin           ","53593","620","05121",133554000,643700
"005C505223   ","2013","11","Mississippi         ","39209","612","05121",155350000,2264200
" 680 200M5648","2012","08","Nevada              ","89509","651","05119",0,35200
" 680 2A250366","2012","07","Washington          ","98059","712","05122",208000,9000
"005503R906   ","2013","08","Colorado            ","80010","100","05121",3592000,53200
" 680 6A96091A","2012","08","California          ","90006","651","05219",0,21000
"003A028126   ","2013","06","Nevada              ","89103","718","05122",0,5000
"008940H806   ","2013","03","Arizona             ","85017","612","05121",0,47600
" 680 2294X24A","2012","01","Missouri            ","63801","712","05121",6753000,280700
" 680 7B405168","2012","04","Mississippi         ","39213","093","05219",0,15600
" 680 8442C62A","2012","01","Pennsylvania        ","17315","620","05121",215893000,1895600
"006D488737   ","2013","09","Oklahoma            ","74578","100","05219",0,50000
"007595L19A   ","2013","11","Ohio                ","45150","713","05122",1092000,34400
"009353R952   ","2013","10","Illinois            ","60445","456","05121",3277000,27400
"005D05262A   ","2013","08","Colorado            ","80214","010","05121",74880000,2350600
"004C049910   ","2013","10","Massachusetts       ","01757","676","05223",10000000,616300
" 680 7A830337","2012","01","Ohio                ","45226","691","05219",0,40600
" 680 1B884987","2012","08","Ohio                ","43229","600","05122",105000,3400
"005D229490   ","2013","09","Ohio                ","44319","169","05224",10000000,20100
"006044N311   ","2013","06","Texas               ","75201","612","05224",10000000,25900
" 680 4935L876","2012","07","Massachusetts       ","01983","542","05121",26950000,1637900
"006A782208   ","2013","10","Colorado            ","80214","100","05219",0,40900
" PACP8474C585","2012","08","Texas               ","75226","110","05121",3764000,310300
"002C989951   ","2013","09","Pennsylvania        ","19123","612","05224",20000000,111300
"005D527419   ","2013","08","Pennsylvania        ","19403","612","05223",5000,44900
"001236P179   ","2013","10","Nebraska            ","68114","147","05122",827000,21900
"00914Y4319   ","2013","06","Illinois            ","60430","620","05121",23601000,91100
" 680 668M8815","2012","08","Georgia             ","30046","713","05119",0,16700
"008446R870   ","2013","09","Texas               ","79902","612","05121",4752000,148200
" 680 9A428655","2012","08","California          ","92705","712","05213",0,5200
" 680 1485N545","2012","08","California          ","92395","651","05219",0,14400
"006A152099   ","2013","10","Oklahoma            ","74145","042","05121",1768000,159800
" PACP3403N83A","2012","03","Texas               ","76060","712","05122",0,44100
"006D358574   ","2013","10","Pennsylvania        ","15206","620","05145",60000000,119500
" 680 522M9441","2012","08","Montana             ","59715","712","05121",5408000,238700
" 680 0959M018","2012","03","Missouri            ","65807","712","05219",0,279000
"001B262523   ","2013","11","Texas               ","75652","612","05121",5179000,129800
" 680 9981B063","2012","08","California          ","92501","612","05121",131074000,1664400
