"contract_id","case_filed_yr","case_filed_month","jurisdiction","zip","assign_atty","case_type","hours_worked"
" 680 1B551370","2013","11","South Carolina      ","29406","945","05122",18
" 680 8A048520","2013","10","Texas               ","75204","571","05122",19
" 680 1732A31A","2012","08","California          ","92571","719","05101",157
" 680 8392N509","2013","07","Kansas              ","66064","718","05122",742
" 680 1A776169","2012","06","Connecticut         ","06790","712","05219",47
" 680 5993L40A","2012","07","New York            ","10022","651","05106",695
" 680 3A594019","2013","07","North Carolina      ","28211","620","05223",450
" 680 5465A438","2012","04","Massachusetts       ","01473","759","05119",147
" 680 3760N402","2012","08","Maryland            ","21217","712","05219",43
" 680 8C701565","2013","04","Arizona             ","85301","620","05224",1881
" 680 6D814732","2013","11","Maryland            ","21201","169","05122",53
" 680 2A066618","2012","08","Oregon              ","97216","091","05219",186
" PACP3403N83A","2012","03","Texas               ","76060","712","05121",3908
" 680 2D83823A","2013","06","Michigan            ","48219","184","05224",503
" 680 197Y0832","2013","04","Colorado            ","80301","189","05122",7
" 680 5675W230","2013","12","Montana             ","59101","454","05121",132
" 680 6D425216","2013","10","New Mexico          ","88231","718","05122",6
" 680 9667C043","2012","02","Alabama             ","36106","600","05223",14
" 680 9D407646","2013","12","South Dakota        ","57108","612","05121",404
" 680 8584M272","2013","01","Arizona             ","85207","612","05121",443
" 680 1007R016","2012","08","California          ","92821","612","05121",8
" 680 0068P225","2013","09","Minnesota           ","55060","612","05122",51
" 680 6870P284","2013","04","Nevada              ","89119","100","05122",81
" 680 6651P39A","2012","08","New Jersey          ","07470","612","05219",2462
" 680 3781X850","2012","04","Mississippi         ","39206","713","05119",35
" 680 1505R091","2013","05","Wyoming             ","82601","636","05119",23
" 680 7C611550","2013","02","Michigan            ","48098","970","05125",114
" 680 7750M096","2013","12","Washington          ","98273","169","05224",5
" 680 85K02544","2012","06","New York            ","10005","651","05119",50
" 680 6648H93A","2013","10","Colorado            ","80909","612","05122",18
" 680 1509T374","2013","11","North Carolina      ","27215","010","05223",369
" 680 7617M550","2013","11","Illinois            ","60527","513","05223",249
" 680 3445P680","2012","08","Massachusetts       ","02171","090","05102",1
" 680 9A576615","2013","12","Tennessee           ","37027","639","05122",44
" 680 478M3651","2013","10","Connecticut         ","06897","913","05223",2748
" 680 4A595801","2012","08","South Dakota        ","57110","742","05119",43
" 680 1B890029","2013","12","Minnesota           ","55401","639","05122",2408
" 680 9480C147","2013","01","Colorado            ","80211","620","05121",186
" 680 1B898088","2012","08","Virginia            ","22313","612","05223",2
" 680 2553X277","2012","03","Colorado            ","80831","712","05219",25
" 680 9201M287","2012","05","Georgia             ","30606","743","05119",5
" 680 4A590866","2012","01","Idaho               ","83687","719","05119",19
" 680 6D52369A","2013","10","Virginia            ","22311","620","05121",61
" 680 5780A715","2012","08","New York            ","14534","091","05119",38
" 680 9A423113","2012","08","Nevada              ","89102","712","05219",599
" 680 6C606401","2013","12","Connecticut         ","06078","459","05223",11385
" 680 1796X74A","2012","08","Maryland            ","20852","712","05122",34
" 680 4C055351","2013","07","New York            ","10018","639","05122",974
" 680 3B498328","2012","04","New Jersey          ","07093","712","05119",25
" 680 3D755119","2013","07","Oklahoma            ","73505","040","05224",2
" 680 8153X883","2012","05","Kentucky            ","41014","712","05122",65
" 680 2088C811","2012","08","New Jersey          ","07980","712","05122",57
" 680 7698P404","2013","04","Michigan            ","48009","523","05121",60
" 680 6282M446","2012","08","Tennessee           ","38103","651","05219",11
" 680 8B460561","2013","05","Connecticut         ","06704","042","05224",1558
" 680 7488P695","2012","04","California          ","92103","651","05102",566
" 680 2D402445","2013","05","Massachusetts       ","02169","984","05223",902
" 680 2A383218","2012","07","New Jersey          ","07840","712","05119",25
" 680 4A905371","2013","08","New York            ","10474","503","05105",119
" 680 6C76959A","2013","03","Massachusetts       ","02780","620","05121",39
" 680 1136P605","2012","08","California          ","90606","612","05121",8894
" 680 2592X205","2012","01","Massachusetts       ","02144","712","05119",6520
" 680 166M774A","2013","09","Colorado            ","80915","164","05224",9
" 680 7983R874","2013","11","Alabama             ","35801","612","05121",5
" 680 8146N870","2012","08","Massachusetts       ","01835","090","05219",2
" 680 6071P591","2013","03","Illinois            ","60637","620","05121",272
" 680 7264P269","2013","03","Indiana             ","47250","169","05122",85
" 680 0C167321","2012","05","New Jersey          ","08901","546","05122",50
" 680 7314P984","2012","04","Massachusetts       ","02149","599","05219",80
" 680 7982N063","2013","07","New York            ","11232","569","05223",223
" 680 6D464008","2013","09","Minnesota           ","55115","718","05122",5
" 680 8085R119","2012","08","Pennsylvania        ","19120","968","05223",1336
" 680 0D111204","2013","03","Pennsylvania        ","18014","970","05223",260
" 680 3D163593","2013","08","Tennessee           ","37174","169","05122",133
" 680 0D869295","2013","06","New York            ","11782","922","05223",35718
" 680 3984W645","2013","06","Indiana             ","46204","620","05121",11
" 680 6621N419","2012","08","California          ","92021","712","05219",24
" 680 6322L312","2012","08","Washington          ","98104","926","05119",84
" 680 4C303062","2013","05","Massachusetts       ","01007","100","05223",148
" 680 9773B864","2013","10","Massachusetts       ","01821","970","05223",160
" 680 6A967922","2013","10","Minnesota           ","55042","612","05223",1
" 680 8A995129","2013","01","Colorado            ","80301","915","05122",35
" 680 5B142319","2012","03","Connecticut         ","06518","651","05219",34
" PACP3666M424","2012","06","Texas               ","78234","712","05122",4
" 680 7006M413","2013","03","Ohio                ","44039","612","05121",73
" 680 8D059084","2013","12","Mississippi         ","39047","970","05223",107794
" 680 2445X125","2012","08","California          ","91776","712","05122",1003
" 680 0C081285","2012","06","California          ","94123","712","05119",17
" 680 8099M52A","2013","10","Pennsylvania        ","19133","665","05224",1981
" 680 0904M369","2013","03","Colorado            ","81611","620","05121",20
" 680 8C332036","2013","04","Utah                ","84088","620","05121",19
" 680 2D772456","2013","05","Georgia             ","30318","169","05224",3
" 680 6B777255","2013","03","North Carolina      ","27292","169","05131",39
" 680 5817P506","2012","02","New York            ","13215","090","05219",100
" 680 363M0464","2013","10","Kentucky            ","40422","044","05122",6
" 680 136Y9907","2012","08","New York            ","10310","544","05119",1801
" 680 0C10719A","2013","06","North Carolina      ","28277","620","05121",201
" 680 5A569227","2013","11","Virginia            ","24201","169","05122",166
" 680 8233R993","2013","08","Illinois            ","60502","612","05119",5
" PACP2B395237","2012","01","Texas               ","75050","049","05132",180
" 680 406H2577","2013","08","New York            ","11501","636","05224",25344
" 680 7430N047","2013","08","Connecticut         ","06037","100","05121",272
" 680 9162H02A","2012","08","New York            ","10028","651","05119",215
" 680 2A936769","2013","06","Massachusetts       ","02360","542","05145",35
" 680 6372X838","2012","05","North Carolina      ","27360","712","05219",499
" 680 6D796710","2013","10","Georgia             ","30135","169","05224",641
" 680 3D267554","2013","06","Nebraska            ","68002","100","05121",1075
" 680 2168P441","2012","08","Maryland            ","21075","592","05102",108
" 680 6341C18A","2013","05","Connecticut         ","06851","612","05121",98
" 680 3029C648","2012","08","Connecticut         ","06457","940","05119",17
" 680 3431N803","2013","04","Illinois            ","60603","639","05122",209
" 680 8709M405","2012","08","California          ","93427","573","05119",14
" 680 7956R153","2012","08","Oregon              ","97070","456","05106",75
" 680 8948M674","2012","08","Missouri            ","63109","712","05122",292
" PACP6002X968","2012","08","Texas               ","76015","562","05233",132
" 680 4A654043","2013","08","South Carolina      ","29205","010","05121",66
" 680 4B33074A","2012","08","Oregon              ","97233","712","05121",34
" 680 8415R660","2012","08","New Jersey          ","08518","612","05121",32
" 680 4375B074","2013","08","Indiana             ","46032","612","05121",254
