contract_id,case_filed_yr,case_filed_month,jurisdiction,zip,assign_atty,case_type_x,settlement_offer,amount_billed,contract_dup,case_type_y,hours_worked
 680 4770B418,2012,8,Connecticut         ,6776,940,5122.0,13000.0,6500.0,False,5122.0,104.0
 680 4770B418,2012,8,Connecticut         ,6776,940,5122.0,13000.0,6500.0,False,5223.0,73832.0
00280M0214   ,2013,11,New Jersey          ,7753,100,5219.0,0.0,127600.0,False,,
002628R132   ,2013,6,New York            ,14611,169,5122.0,263000.0,44900.0,False,,
 680 6396M007,2012,8,New York            ,10550,600,5121.0,72758000.0,1835900.0,False,5121.0,1252.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5119.0,0.0,27700.0,False,5121.0,20.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5119.0,0.0,27700.0,False,5119.0,25.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5119.0,0.0,27700.0,False,5122.0,50.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5121.0,7047000.0,126400.0,True,5121.0,20.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5121.0,7047000.0,126400.0,True,5119.0,25.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5121.0,7047000.0,126400.0,True,5122.0,50.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5122.0,2228000.0,94600.0,True,5121.0,20.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5122.0,2228000.0,94600.0,True,5119.0,25.0
 680 3930N794,2012,8,New Jersey          ,7605,712,5122.0,2228000.0,94600.0,True,5122.0,50.0
004C239140   ,2013,12,Illinois            ,60106,620,5121.0,130000000.0,658100.0,False,,
 680 6543P586,2012,8,Massachusetts       ,2128,595,5119.0,0.0,7000.0,False,5119.0,19.0
 680 6543P586,2012,8,Massachusetts       ,2128,595,5119.0,0.0,7000.0,False,5102.0,25.0
 680 7629X892,2012,8,Georgia             ,30134,90,5219.0,0.0,24900.0,False,5201.0,31.0
 680 7629X892,2012,8,Georgia             ,30134,90,5219.0,0.0,24900.0,False,5219.0,1292.0
001D855528   ,2013,4,Texas               ,75050,100,5223.0,6000.0,210600.0,False,,
001D855528   ,2013,4,Texas               ,75050,100,5213.0,10000000.0,3600.0,True,,
001D855528   ,2013,4,Texas               ,75050,100,5232.0,20000000.0,39100.0,True,,
 680 322M4124,2012,8,Illinois            ,60430,651,5219.0,0.0,20800.0,False,5101.0,156.0
 680 322M4124,2012,8,Illinois            ,60430,651,5219.0,0.0,20800.0,False,5219.0,397.0
008C818165   ,2013,2,New York            ,11516,966,5122.0,5500000.0,313700.0,False,,
 680 7503X712,2012,3,California          ,92614,714,5119.0,0.0,5800.0,False,5119.0,739.0
 680 5604L655,2012,8,North Carolina      ,28205,542,5106.0,0.0,18300.0,False,5223.0,55.0
 680 5604L655,2012,8,North Carolina      ,28205,542,5106.0,0.0,18300.0,False,5106.0,39.0
008515H826   ,2013,3,Illinois            ,60432,416,5122.0,6103000.0,79600.0,False,,
 680 4121X612,2012,2,Washington          ,98391,712,5219.0,0.0,319000.0,False,5219.0,89.0
005C684638   ,2013,11,District of Columbia,20006,675,5119.0,0.0,17900.0,False,,
004181A794   ,2013,12,Illinois            ,60124,612,5121.0,3000000.0,10000.0,False,,
004181A794   ,2013,12,Illinois            ,60124,612,5122.0,1750000.0,18700.0,True,,
004D126896   ,2013,7,Wisconsin           ,53208,416,5122.0,100000.0,13200.0,False,,
008D773464   ,2013,12,Georgia             ,30144,135,5223.0,37000.0,94600.0,False,,
 680 2C804346,2012,7,Georgia             ,30076,745,5119.0,0.0,7700.0,False,5119.0,36.0
 680 6D345923,2012,8,California          ,90501,91,5106.0,0.0,1300.0,False,5102.0,17.0
 680 6D345923,2012,8,California          ,90501,91,5106.0,0.0,1300.0,False,5106.0,80.0
 680 9831P590,2012,8,Oklahoma            ,73119,612,5121.0,91250000.0,3291700.0,False,5121.0,52.0
004D940765   ,2013,10,Maryland            ,21740,612,5119.0,0.0,43100.0,False,,
004D940765   ,2013,10,Maryland            ,21740,612,5145.0,30000000.0,101200.0,True,,
 680 7498R008,2012,8,Virginia            ,22801,600,5121.0,93120000.0,1093200.0,False,5121.0,83.0
007014M806   ,2013,9,Georgia             ,31201,612,5121.0,0.0,103400.0,False,,
000387P119   ,2013,9,New Jersey          ,7306,100,5223.0,2000.0,542000.0,False,,
005351M237   ,2013,8,Virginia            ,22030,40,5224.0,10000000.0,62800.0,False,,
002A375347   ,2013,6,Missouri            ,63801,169,5224.0,10000000.0,26900.0,False,,
 680 2A904237,2012,6,California          ,92410,599,5119.0,0.0,37600.0,False,5119.0,80.0
00392R7234   ,2013,1,Tennessee           ,38555,416,5121.0,2186000.0,109300.0,False,,
